"id","timestamp","current_moisture","target_moisture","mode","relay_target_status","relay_current_state"
185,1608750724,0,400,auto,on,off
187,1608750726,0,400,auto,on,on
189,1608750728,0,400,auto,on,on
191,1608750730,0,400,auto,on,on
193,1608750732,0,400,auto,on,on
195,1608750734,0,400,auto,on,on
197,1608750736,0,400,auto,on,on
199,1608750738,0,400,auto,on,on
201,1608750740,0,400,auto,on,on
203,1608750742,0,400,auto,on,on
205,1608750744,0,400,auto,on,on
207,1608750746,0,400,auto,on,on
209,1608750748,0,400,auto,on,on
211,1608750750,0,400,auto,on,on
213,1608750752,0,400,auto,on,on
215,1608750754,0,400,auto,on,on
217,1608750756,0,400,auto,on,on
219,1608750758,0,400,auto,on,on
221,1608750760,0,400,auto,on,on
223,1608750762,0,400,auto,on,on
225,1608796987,0,400,auto,on,off
227,1608796989,0,400,auto,on,on
229,1608796991,0,400,auto,on,on
231,1608796993,0,400,auto,on,on
233,1608796995,0,400,auto,on,on
235,1608796997,0,400,auto,on,on
237,1608796999,0,400,auto,on,on
239,1608797001,0,400,auto,on,on
241,1608797003,0,400,auto,on,on
243,1608797005,0,400,auto,on,on
245,1608797007,0,400,auto,on,on
247,1608797009,0,400,auto,on,on
249,1608797011,0,400,auto,on,on
251,1608797013,0,400,auto,on,on
253,1608797015,0,400,auto,on,on
255,1608797017,0,400,auto,on,on
257,1608797019,0,400,manual,on,on
259,1608797020,0,400,manual,on,on
261,1608797022,0,400,manual,on,on
263,1608797024,0,400,manual,on,on
265,1608797026,0,400,manual,on,on
267,1608797028,0,400,manual,on,on
269,1608797030,0,400,manual,on,on
271,1608797032,0,400,manual,on,on
273,1608797034,0,400,manual,on,on
275,1608797036,0,400,manual,on,on
277,1608797038,0,400,manual,on,on
279,1608797040,0,400,manual,on,on
281,1608797042,0,400,manual,on,on
283,1608797044,0,400,manual,on,on
285,1608797046,0,400,manual,on,on
287,1608797048,0,400,manual,on,on
289,1608797050,0,400,manual,on,on
291,1608797052,0,400,manual,on,on
293,1608797054,0,400,manual,on,on
295,1608797056,0,400,manual,on,on
297,1608797058,0,400,manual,on,on
299,1608797060,0,400,manual,on,on
301,1608797063,0,400,manual,on,on
303,1608797064,0,400,auto,on,on
305,1608797066,0,400,auto,on,on
307,1608797068,0,400,auto,on,on
309,1608797070,0,400,auto,on,on
311,1608797072,0,400,auto,on,on
313,1608797074,0,400,auto,on,on
315,1608797076,0,400,auto,on,on
317,1608797078,0,400,auto,on,on
319,1608797080,0,400,auto,on,on
321,1608797081,0,400,auto,on,on
323,1608797083,0,400,auto,on,on
325,1608797085,0,400,auto,on,on
327,1608797087,0,400,auto,on,on
73,1608741732,0,400,auto,on,off
74,1608741733,0,400,auto,on,on
75,1608741734,0,400,auto,on,on
76,1608741735,0,400,auto,on,on
77,1608741736,0,400,auto,on,on
78,1608741737,0,400,auto,on,on
79,1608741738,0,400,auto,on,on
80,1608741739,0,400,auto,on,on
81,1608741740,0,400,auto,on,on
82,1608741741,0,400,auto,on,on
83,1608741742,0,400,auto,on,on
84,1608741743,0,400,auto,on,on
85,1608741744,0,400,auto,on,on
86,1608741745,0,400,auto,on,on
87,1608741746,0,400,auto,on,on
88,1608741747,0,400,auto,on,on
89,1608741748,0,400,auto,on,on
90,1608741749,0,400,auto,on,on
91,1608741750,0,400,auto,on,on
92,1608741751,0,400,auto,on,on
93,1608741752,0,400,auto,on,on
94,1608741753,0,400,auto,on,on
95,1608741754,0,400,auto,on,on
96,1608741755,0,400,auto,on,on
97,1608741756,0,400,auto,on,on
98,1608741757,0,400,auto,on,on
99,1608741758,0,400,auto,on,on
100,1608741759,0,400,auto,on,on
101,1608741760,0,400,auto,on,on
102,1608741761,0,400,auto,on,on
103,1608741762,0,400,auto,on,on
104,1608741763,0,400,auto,on,on
105,1608741764,0,400,auto,on,on
106,1608741765,0,400,auto,on,on
107,1608741766,0,400,auto,on,on
108,1608741767,0,400,auto,on,on
109,1608741768,0,400,auto,on,on
110,1608741770,0,400,auto,on,on
111,1608741771,0,400,auto,on,on
112,1608741772,0,400,auto,on,on
113,1608741773,0,400,auto,on,on
114,1608745055,0,400,auto,on,off
115,1608745056,0,400,auto,on,on
116,1608745057,0,400,auto,on,on
117,1608745058,0,400,auto,on,on
118,1608745059,0,400,auto,on,on
119,1608745060,0,400,auto,on,on
120,1608745061,0,400,auto,on,on
121,1608745063,0,400,auto,on,on
122,1608745064,0,400,auto,on,on
123,1608745065,0,400,auto,on,on
124,1608745066,0,400,auto,on,on
125,1608745067,0,400,auto,on,on
126,1608745068,0,400,auto,on,on
127,1608745069,0,400,auto,on,on
128,1608745070,0,400,auto,on,on
129,1608745071,0,400,auto,on,on
130,1608745072,0,400,auto,on,on
131,1608745073,0,400,auto,on,on
132,1608745074,0,400,auto,on,on
133,1608745075,0,400,auto,on,on
134,1608745076,0,400,auto,on,on
135,1608745077,0,400,auto,on,on
136,1608745078,0,400,auto,on,on
137,1608745079,0,400,auto,on,on
138,1608745080,0,400,auto,on,on
139,1608745081,0,400,auto,on,on
140,1608745082,0,400,auto,on,on
141,1608745083,0,400,auto,on,on
142,1608745084,0,400,auto,on,on
143,1608745085,0,400,auto,on,on
144,1608745086,0,400,auto,on,on
145,1608745087,0,400,auto,on,on
146,1608745088,0,400,auto,on,on
147,1608745089,90,400,auto,on,on
148,1608745090,113,400,auto,on,on
149,1608745091,158,400,auto,on,on
150,1608745092,127,400,auto,on,on
151,1608745093,125,400,auto,on,on
152,1608745094,134,400,auto,on,on
153,1608745095,121,400,auto,on,on
154,1608745096,157,400,auto,on,on
155,1608745097,134,400,auto,on,on
156,1608745098,145,400,auto,on,on
157,1608745099,133,400,auto,on,on
158,1608745100,136,400,auto,on,on
159,1608745101,152,400,auto,on,on
160,1608745102,126,400,auto,on,on
161,1608745103,150,400,auto,on,on
162,1608745104,134,400,auto,on,on
163,1608745105,142,400,auto,on,on
164,1608745106,60,400,auto,on,on
165,1608745107,0,400,auto,on,on
166,1608745108,0,400,auto,on,on
167,1608745109,0,400,auto,on,on
168,1608745110,0,400,auto,on,on
169,1608745111,0,400,auto,on,on
170,1608745112,0,400,auto,on,on
171,1608745113,0,400,auto,on,on
172,1608745114,0,400,auto,on,on
173,1608745115,0,400,auto,on,on
174,1608745116,0,400,auto,on,on
175,1608745117,0,400,auto,on,on
176,1608745118,0,400,auto,on,on
177,1608745119,0,400,auto,on,on
178,1608745120,0,400,auto,on,on
179,1608745121,0,400,auto,on,on
180,1608745122,0,400,auto,on,on
181,1608745123,0,400,auto,on,on
182,1608745124,0,400,auto,on,on
183,1608745125,0,400,auto,on,on
184,1608745126,0,400,auto,on,on
186,1608750725,0,400,auto,on,on
188,1608750727,0,400,auto,on,on
190,1608750729,0,400,auto,on,on
192,1608750731,0,400,auto,on,on
194,1608750733,0,400,auto,on,on
196,1608750735,0,400,auto,on,on
198,1608750737,0,400,auto,on,on
200,1608750739,0,400,auto,on,on
202,1608750741,0,400,auto,on,on
204,1608750743,0,400,auto,on,on
206,1608750745,0,400,auto,on,on
208,1608750747,0,400,auto,on,on
210,1608750749,0,400,auto,on,on
212,1608750751,0,400,auto,on,on
214,1608750753,0,400,auto,on,on
216,1608750755,0,400,auto,on,on
218,1608750757,0,400,auto,on,on
220,1608750759,0,400,auto,on,on
222,1608750761,0,400,auto,on,on
224,1608750763,0,400,auto,on,on
226,1608796988,0,400,auto,on,on
228,1608796990,0,400,auto,on,on
230,1608796992,0,400,auto,on,on
232,1608796994,0,400,auto,on,on
234,1608796996,0,400,auto,on,on
236,1608796998,0,400,auto,on,on
238,1608797000,0,400,auto,on,on
240,1608797002,0,400,auto,on,on
242,1608797004,0,400,auto,on,on
244,1608797006,0,400,auto,on,on
246,1608797008,0,400,auto,on,on
248,1608797010,0,400,auto,on,on
250,1608797012,0,400,auto,on,on
252,1608797014,0,400,auto,on,on
254,1608797016,0,400,auto,on,on
256,1608797018,0,400,auto,on,on
258,1608797019,0,400,manual,on,on
260,1608797021,0,400,manual,on,on
262,1608797023,0,400,manual,on,on
264,1608797025,0,400,manual,on,on
266,1608797027,0,400,manual,on,on
268,1608797029,0,400,manual,on,on
270,1608797031,0,400,manual,on,on
272,1608797033,0,400,manual,on,on
274,1608797035,0,400,manual,on,on
276,1608797037,0,400,manual,on,on
278,1608797039,0,400,manual,on,on
280,1608797041,0,400,manual,on,on
282,1608797043,0,400,manual,on,on
284,1608797045,0,400,manual,on,on
286,1608797047,0,400,manual,on,on
288,1608797049,0,400,manual,on,on
290,1608797051,0,400,manual,on,on
292,1608797053,0,400,manual,on,on
294,1608797055,0,400,manual,on,on
296,1608797057,0,400,manual,on,on
298,1608797059,0,400,manual,on,on
